scene,floor,question,choices,question_formatted,answer,label
00343-5graSmdK3Bj,0,How many additional chairs are there next to the dining table against the wall?,"['Three', 'One', 'Two', 'None']",How many additional chairs are there next to the dining table against the wall? A) Three B) One C) Two D) None. Answer:,C,location
00349-p32JzpQyhPk,0,Is there any pot left on the stove?,"['There is one', 'There is none', 'There are two', 'There are three']",Is there any pot left on the stove? A) There is one B) There is none C) There are two D) There are three. Answer:,A,identification
00354-NpCFg9NdUgL,1,I am expecting a package. Is there one by the entrance door?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",I am expecting a package. Is there one by the entrance door? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,identification
00356-RYzud5W7ZnC,0,I am looking for my briefcase. Is is on my office desk?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",I am looking for my briefcase. Is is on my office desk? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,existence
00356-RYzud5W7ZnC,0,What color is the office desk chair?,"['Red', 'White', 'Green', 'Black']",What color is the office desk chair? A) Red B) White C) Green D) Black. Answer:,C,existence
00357-TzQLNfWugiZ,0,I want to unplug the window air conditioning unit but not sure if I did.,"['Yes, it is unplugged', '(Do not choose this option)', '(Do not choose this option)', 'No, it is still plugged in']","I want to unplug the window air conditioning unit but not sure if I did. A) Yes, it is unplugged B) (Do not choose this option) C) (Do not choose this option) D) No, it is still plugged in. Answer:",D,state
00359-aTf5zsbjZMb,0,Guest is coming. Is there any hand towel in the bathroom?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Guest is coming. Is there any hand towel in the bathroom? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00359-aTf5zsbjZMb,1,Is there any white paper on the printer?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is there any white paper on the printer? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,existence
00360-yA3RqPqMrGE,0,Is the piano lid down?,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up still', '(Do not choose this option)']","Is the piano lid down? A) (Do not choose this option) B) Yes, it is down C) No, it is up still D) (Do not choose this option). Answer:",B,state
00360-yA3RqPqMrGE,0,How many chairs we have at dining table?,"['Three', 'Four', 'One', 'Two']",How many chairs we have at dining table? A) Three B) Four C) One D) Two. Answer:,B,count
00362-o94q92w5PK5,0,Is the living room TV turned off?,"['Yes, it is off', 'No, it is still on', '(Do not choose this option)', '(Do not choose this option)']","Is the living room TV turned off? A) Yes, it is off B) No, it is still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00364-tEafuWwhhwr,1,I'm looking for my pair of brown shoes. Are they under the armchair in the bedroom?,"['Yes, they are under the armchair.', '(Do not choose this option)', 'No, they are not under the armchair.', '(Do not choose this option)']","I'm looking for my pair of brown shoes. Are they under the armchair in the bedroom? A) Yes, they are under the armchair. B) (Do not choose this option) C) No, they are not under the armchair. D) (Do not choose this option). Answer:",C,existence
00366-fxbzYAGkrtm,0,I am looking for my boots. Are they on the stairs by the entrance door?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I am looking for my boots. Are they on the stairs by the entrance door? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,existence
00366-fxbzYAGkrtm,1,How many pillows I put on the bed with red bedding?,"['None', 'Two', 'One', 'Four']",How many pillows I put on the bed with red bedding? A) None B) Two C) One D) Four. Answer:,A,count
00368-k9UfRPqLm3j,0,Is the patio door open?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is the patio door open? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,state
00369-FgXPKxNp5kK,0,Did I leave any pot on the stove?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Did I leave any pot on the stove? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00369-FgXPKxNp5kK,1,Is there stuff to be cleaned up from the kitchen floor?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is there stuff to be cleaned up from the kitchen floor? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00376-wxixLWuvLjd,0,I'm trying to remember where I placed the decorative star. It is on the shelf next to the television?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I'm trying to remember where I placed the decorative star. It is on the shelf next to the television? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00376-wxixLWuvLjd,0,Is the black recliner chair positioned facing the window?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the black recliner chair positioned facing the window? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00376-wxixLWuvLjd,0,Is the fruit bowl left on the kitchen countertop?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the fruit bowl left on the kitchen countertop? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00381-pmZMJfFd3Jy,0,I need to find my suitcase. Is it located in the hallway?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",I need to find my suitcase. Is it located in the hallway? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00386-b3WpMbPFB6q,0,Is my jacket left on the staircase?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is my jacket left on the staircase? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00388-pcpn6mFqFCg,0,Is the kettle on the coffee table?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the kettle on the coffee table? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00389-d6bYiL1d9Fh,0,How many chairs are there around the dining table now?,"['Six', 'Eight', 'Two', 'Four']",How many chairs are there around the dining table now? A) Six B) Eight C) Two D) Four. Answer:,A,count
00389-d6bYiL1d9Fh,1,Is the closet door in the bedroom closed?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is the closet door in the bedroom closed? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00391-3UDjdrwcqMb,0,I'm expecting guests and need to tidy up. Are there any pillows lying around in the bedroom with brown bedding?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",I'm expecting guests and need to tidy up. Are there any pillows lying around in the bedroom with brown bedding? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,D,existence
00393-dD37vuCa4FE,0,Is the patio door left open?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is the patio door left open? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,state
00396-wuKkTq5GJbi,1,Is the kettle left on the kitchen counter?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is the kettle left on the kitchen counter? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,existence
00396-wuKkTq5GJbi,1,How many jackets are we hanging in the hallway?,"['More than five', 'Three', 'None', 'One']",How many jackets are we hanging in the hallway? A) More than five B) Three C) None D) One. Answer:,A,count
00397-ZNanfzgCdm3,0,Are curtains closed in the bedroom?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Are curtains closed in the bedroom? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,C,state
00398-Vnb6uKtzQCU,0,How many cues are there on the pool table?,"['One', 'More than three', 'Two', 'None']",How many cues are there on the pool table? A) One B) More than three C) Two D) None. Answer:,D,count
00400-KcHdFEzySGq,0,How many dining chairs are around the table in the dining area?,"['Five', 'Four', 'Six', 'Three']",How many dining chairs are around the table in the dining area? A) Five B) Four C) Six D) Three. Answer:,C,count
00404-QN2dRqwd84J,0,Is the television in the bedroom left on?,"['(Do not choose this option)', 'No, it is off', 'Yes, it is on', '(Do not choose this option)']","Is the television in the bedroom left on? A) (Do not choose this option) B) No, it is off C) Yes, it is on D) (Do not choose this option). Answer:",B,state
00405-q28T9C3q2dv,2,Is the hair dryer still left on the vanity top?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the hair dryer still left on the vanity top? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00411-o4tckGBtaxz,0,I am going to work out. Is the air conditioning near the exercise equipment turned on already?,"['Yes, it is on', '(Do not choose this option)', 'No, it is off', '(Do not choose this option)']","I am going to work out. Is the air conditioning near the exercise equipment turned on already? A) Yes, it is on B) (Do not choose this option) C) No, it is off D) (Do not choose this option). Answer:",C,state
00412-mDPCxA7W1WN,0,Is the air conditioning in the living room plugged in or not?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is the air conditioning in the living room plugged in or not? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,state
00412-mDPCxA7W1WN,0,How many small plants are there next to the kitchen sink?,"['One', 'None', 'Three', 'More than five']",How many small plants are there next to the kitchen sink? A) One B) None C) Three D) More than five. Answer:,A,count
00412-mDPCxA7W1WN,1,Is there some white paper right on top of the printer?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there some white paper right on top of the printer? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00414-77mMEyxhs44,0,Is the monitor left on?,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is blank']","Is the monitor left on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is blank. Answer:",D,state
00415-rBmEe6ab5VP,0,Is the walk-in closet door left open?,"['No, it is closed', '(Do not choose this option)', '(Do not choose this option)', 'Yes, it is open']","Is the walk-in closet door left open? A) No, it is closed B) (Do not choose this option) C) (Do not choose this option) D) Yes, it is open. Answer:",D,state
00418-t6tH2pNA9X5,0,How many pendant lights are hanging above the kitchen island?,"['Two', 'Four', 'Three', 'One']",How many pendant lights are hanging above the kitchen island? A) Two B) Four C) Three D) One. Answer:,A,count
00420-R6Byftz8wRN,1,"Are the bedside lamps on, the ones next to the bed with blue bedding?","['Yes, both are on', 'Only right one is on', 'Only left one is on', 'No, both of them are off']","Are the bedside lamps on, the ones next to the bed with blue bedding? A) Yes, both are on B) Only right one is on C) Only left one is on D) No, both of them are off. Answer:",D,state
00423-bEdki9cbHDG,0,Does this house have some weights for lifting?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Does this house have some weights for lifting? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,D,existence
00423-bEdki9cbHDG,1,How many pillows are there on the lower bunk bed?,"['One', 'None', 'Three', 'Two']",How many pillows are there on the lower bunk bed? A) One B) None C) Three D) Two. Answer:,B,count
00424-Hsk3jDzNySy,0,Are the French closet doors in the room with orange walls open or closed?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Are the French closet doors in the room with orange walls open or closed? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00425-SSbSnMigayt,0,How many stuffed animals are on top of the bookshelf in the bedroom?,"['Three', 'Two', 'One', 'Four']",How many stuffed animals are on top of the bookshelf in the bedroom? A) Three B) Two C) One D) Four. Answer:,B,count
00425-SSbSnMigayt,0,Is the television in the bedroom turned off?,"['(Do not choose this option)', ""No, it's on."", ""Yes, it's off."", '(Do not choose this option)']","Is the television in the bedroom turned off? A) (Do not choose this option) B) No, it's on. C) Yes, it's off. D) (Do not choose this option). Answer:",C,state
00425-SSbSnMigayt,1,How many remotes did I leave on the red ottoman next to sofa?,"['None', 'Two', 'One', 'Three']",How many remotes did I leave on the red ottoman next to sofa? A) None B) Two C) One D) Three. Answer:,B,count
00426-X9fRPGxw1jS,0,Is there a guitar leaning against the bookshelf in the room with the wooden floor?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is there a guitar leaning against the bookshelf in the room with the wooden floor? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00426-X9fRPGxw1jS,0,Is there an oven in the kitchen?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there an oven in the kitchen? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00430-P8L1328HrLi,0,Guest is coming. Is the air conditioning in the living room turned on?,"['Yes, it is on', '(Do not choose this option)', '(Do not choose this option)', 'No, it is off']","Guest is coming. Is the air conditioning in the living room turned on? A) Yes, it is on B) (Do not choose this option) C) (Do not choose this option) D) No, it is off. Answer:",A,state
00435-rmDFTEWfNcz,0,Is there a standing heater next to the bed?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there a standing heater next to the bed? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00436-TGVJHgmMGzi,1,I want to make sure the dining area is ready for guests. How many dining chairs are there?,"['Five', 'Six', 'Seven', 'Four']",I want to make sure the dining area is ready for guests. How many dining chairs are there? A) Five B) Six C) Seven D) Four. Answer:,D,count
00438-XvJjCZv6SYp,1,Is the laptop lid closed?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is the laptop lid closed? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,state
00440-wPLokgvCnuk,1,How many towels are there at the oven?,"['None', 'One', 'Five', 'Two']",How many towels are there at the oven? A) None B) One C) Five D) Two. Answer:,D,count
00443-oz1yTAGPXkh,0,How many pieces of exercise equipment is there in the house?,"['One', 'Three', 'None', 'Two']",How many pieces of exercise equipment is there in the house? A) One B) Three C) None D) Two. Answer:,C,count
00444-sX9xad6ULKc,0,How many sets of utensils are there on the dining table?,"['None', 'Six', 'Four', 'Two']",How many sets of utensils are there on the dining table? A) None B) Six C) Four D) Two. Answer:,C,count
00444-sX9xad6ULKc,0,Are the curtains in the office closed?,"['(Do not choose this option)', 'No, they are open', 'Yes, they are closed', '(Do not choose this option)']","Are the curtains in the office closed? A) (Do not choose this option) B) No, they are open C) Yes, they are closed D) (Do not choose this option). Answer:",C,state
00445-H81QMurNRM8,0,Did I put down the laptop lid? It is in the office.,"['Yes, it is down', 'No, the laptop lid is up', '(Do not choose this option)', '(Do not choose this option)']","Did I put down the laptop lid? It is in the office. A) Yes, it is down B) No, the laptop lid is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00445-H81QMurNRM8,1,How many wooden benches are there in the office?,"['Three', 'None', 'One', 'Two']",How many wooden benches are there in the office? A) Three B) None C) One D) Two. Answer:,A,count
00446-tL6i2PtktSh,0,What color is the curtain in the bedroom?,"['Gray', 'Black', 'Blue', 'White']",What color is the curtain in the bedroom? A) Gray B) Black C) Blue D) White. Answer:,A,identification
00458-fFx6oC7EVp7,0,How many sets of utensils are there on the dining table?,"['None', 'Two', 'Three', 'One']",How many sets of utensils are there on the dining table? A) None B) Two C) Three D) One. Answer:,A,count
00460-LViDMxZp4ZN,0,How many cushions are there on the red sofa?,"['Three', 'One', 'None', 'Two']",How many cushions are there on the red sofa? A) Three B) One C) None D) Two. Answer:,D,count
00466-xAHnY3QzFUN,0,Is the bathroom door fully closed?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the bathroom door fully closed? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,state
00468-iTm2PKHUcTJ,0,Is the living room TV on?,"['(Do not choose this option)', 'No, it is off', 'Yes, it is on', '(Do not choose this option)']","Is the living room TV on? A) (Do not choose this option) B) No, it is off C) Yes, it is on D) (Do not choose this option). Answer:",C,state
00470-udze1CSof5C,1,Did I leave the TV on?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Did I leave the TV on? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,D,state
00478-QDvRVeWFCjM,0,Is the bike next to the bed in the kid's room?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",Is the bike next to the bed in the kid's room? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,existence
00479-p4ZPcGtk6Ex,1,Is the treadmill is currently in an upright storage position?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is the treadmill is currently in an upright storage position? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,state
00483-boHtwWDWtXh,0,Is the bedroom lamp left on?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the bedroom lamp left on? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,state
00483-boHtwWDWtXh,1,I'm expecting a guest who prefers to sit on armchairs. How many armchairs are available in the living room?,"['Three', 'Four', 'Two', 'One']",I'm expecting a guest who prefers to sit on armchairs. How many armchairs are available in the living room? A) Three B) Four C) Two D) One. Answer:,C,count
00483-boHtwWDWtXh,2,Is there a rug at the toilet?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is there a rug at the toilet? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00484-fc7RfUCN5mY,0,How many drawers are in the dresser next to the purple bed?,"['Eight', 'Two', 'Six', 'Four']",How many drawers are in the dresser next to the purple bed? A) Eight B) Two C) Six D) Four. Answer:,D,count
00485-yX54kr5c5g9,0,Are the kitchen island stools pushed in?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Are the kitchen island stools pushed in? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,state
00485-yX54kr5c5g9,0,Is the walk-in closet door in the bedroom closed?,"['(Do not choose this option)', 'No, it is open', 'Yes, it is closed', '(Do not choose this option)']","Is the walk-in closet door in the bedroom closed? A) (Do not choose this option) B) No, it is open C) Yes, it is closed D) (Do not choose this option). Answer:",B,state
00492-panm7DRsmDn,0,How many towels are there at the oven?,"['Two', 'Three', 'One', 'None']",How many towels are there at the oven? A) Two B) Three C) One D) None. Answer:,A,count
00492-panm7DRsmDn,1,How many rugs are there next to the sinks in the bathroom?,"['Two', 'Four', 'None', 'One']",How many rugs are there next to the sinks in the bathroom? A) Two B) Four C) None D) One. Answer:,A,count
00507-RfNGMBdVbAZ,0,How many towels are there at the oven?,"['One', 'None', 'Two', '(Do not choose this option)']",How many towels are there at the oven? A) One B) None C) Two D) (Do not choose this option). Answer:,C,count
00510-JSgMy8tTACD,0,How many plants are there on the kitchen island?,"['One', '(Do not choose this option)', 'None', 'Two']",How many plants are there on the kitchen island? A) One B) (Do not choose this option) C) None D) Two. Answer:,A,count
00510-JSgMy8tTACD,1,Is there a bathrobe available in the wardrobe for the guest to use after a shower?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is there a bathrobe available in the wardrobe for the guest to use after a shower? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,existence
00510-JSgMy8tTACD,1,How many bottles of shampoo or showering gel are there in the glass shower?,"['None', 'Two', 'One', '(Do not choose this option)']",How many bottles of shampoo or showering gel are there in the glass shower? A) None B) Two C) One D) (Do not choose this option). Answer:,B,count
00512-WZDzPCybQvS,1,How many stools are there in the bedroom?,"['None', 'One', 'Two', 'Three']",How many stools are there in the bedroom? A) None B) One C) Two D) Three. Answer:,B,count
00512-WZDzPCybQvS,2,What color is the rug at the bathtub?,"['Brown', 'White', 'Black', 'Gray']",What color is the rug at the bathtub? A) Brown B) White C) Black D) Gray. Answer:,D,identification
00515-krsjseyn6fd,0,Are the white boots left on the stairs?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Are the white boots left on the stairs? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,existence
00517-jG9pucmJVBZ,0,How many bar stools are there at the kitchen counter?,"['None', 'Four', 'Two', 'Three']",How many bar stools are there at the kitchen counter? A) None B) Four C) Two D) Three. Answer:,D,count
00522-XYQdAu1qsK9,0,Is the walk-in closet door in the bedroom left open?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is the walk-in closet door in the bedroom left open? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00525-iKFn6fzyRqs,0,Is the floor lamp next to the piano left on?,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is off', 'Yes, it is on']","Is the floor lamp next to the piano left on? A) (Do not choose this option) B) (Do not choose this option) C) No, it is off D) Yes, it is on. Answer:",D,state
00525-iKFn6fzyRqs,1,I want to take a shower. Are there some towels by the bathrub?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I want to take a shower. Are there some towels by the bathrub? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,existence
00529-W9YAR9qcuvN,0,Is the bottom drawer of the refrigerator left open?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes, it is open', 'No, it is closed']","Is the bottom drawer of the refrigerator left open? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it is open D) No, it is closed. Answer:",D,state
00534-DBBESbk4Y3k,1,Is the laptop left on the coffee table?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is the laptop left on the coffee table? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,existence
00534-DBBESbk4Y3k,2,Is the closet door next to the bed with yellow pillow left open?,"['No, it is closed', 'Yes, it is open', '(Do not choose this option)', '(Do not choose this option)']","Is the closet door next to the bed with yellow pillow left open? A) No, it is closed B) Yes, it is open C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00535-XKqDR74W1JU,1,How many towels are there at the oven?,"['None', 'Two', 'One', 'More than three']",How many towels are there at the oven? A) None B) Two C) One D) More than three. Answer:,A,count
00535-XKqDR74W1JU,1,Is the door to the porch open or closed right now?,"['Closed', '(Do not choose this option)', '(Do not choose this option)', 'Open']",Is the door to the porch open or closed right now? A) Closed B) (Do not choose this option) C) (Do not choose this option) D) Open. Answer:,A,state
00535-XKqDR74W1JU,2,Is the light left on at the toilet?,"['(Do not choose this option)', 'No, it is off', '(Do not choose this option)', 'Yes, it is on']","Is the light left on at the toilet? A) (Do not choose this option) B) No, it is off C) (Do not choose this option) D) Yes, it is on. Answer:",D,state
00537-oahi4u45xMf,0,Is there any pot left on the stove?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is there any pot left on the stove? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00540-6nvpJEZ8ox5,0,Do we have any stools at the kitchen island?,"['Three', 'None', 'One', 'Two']",Do we have any stools at the kitchen island? A) Three B) None C) One D) Two. Answer:,B,existence
00543-1k479icNeHW,0,How many bedstands are there next to the twin beds?,"['Three', 'One', 'Two', 'None']",How many bedstands are there next to the twin beds? A) Three B) One C) Two D) None. Answer:,B,count
00547-9h5JJxM6E5S,0,How many umbrellas are there in the ceramic vase near the staircase?,"['(Do not choose this option)', 'None', 'A few', 'One']",How many umbrellas are there in the ceramic vase near the staircase? A) (Do not choose this option) B) None C) A few D) One. Answer:,C,count
00547-9h5JJxM6E5S,0,Guest is coming. Is the fruit bowl on the kitchen island already?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Guest is coming. Is the fruit bowl on the kitchen island already? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00550-k3ohRuM6bso,0,Is there a microwave on the kitchen counter?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is there a microwave on the kitchen counter? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,C,existence
00555-Y4idBN66BqG,0,Is there a towel on the bathrub already? I wanna shower now.,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is there a towel on the bathrub already? I wanna shower now. A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00556-saBtfCeVoJ4,0,I'm expecting guests and I need to make sure there are enough seats. How many individual chairs are in the dining area?,"['Six', 'Eight', 'Four', 'Two']",I'm expecting guests and I need to make sure there are enough seats. How many individual chairs are in the dining area? A) Six B) Eight C) Four D) Two. Answer:,B,count
00569-YJDUB7hWg9h,0,I'm expecting a package and I think it might have been left by the door. Is there a package near the main entrance?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",I'm expecting a package and I think it might have been left by the door. Is there a package near the main entrance? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00569-YJDUB7hWg9h,0,How many sets of utensils are there on the dining table?,"['Two', 'None', 'Three', 'One']",How many sets of utensils are there on the dining table? A) Two B) None C) Three D) One. Answer:,B,count
00570-kyoZhaD9HuW,0,Are the curtain shades that the office desk is facing at pulled down?,"['Yes, they are down', '(Do not choose this option)', 'No, they are still up', '(Do not choose this option)']","Are the curtain shades that the office desk is facing at pulled down? A) Yes, they are down B) (Do not choose this option) C) No, they are still up D) (Do not choose this option). Answer:",C,state
00573-1zDbEdygBeW,1,Does the kitchen island have any fruit bowl on it?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Does the kitchen island have any fruit bowl on it? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00582-TYDavTf8oyy,1,How many potted plants are on the kitchen windowsill?,"['Four', 'Five', 'Two', 'Three']",How many potted plants are on the kitchen windowsill? A) Four B) Five C) Two D) Three. Answer:,D,count
00582-TYDavTf8oyy,2,How many laundry baskets are in the bedroom with the white bedspread?,"['Two', 'One', 'Three', 'None']",How many laundry baskets are in the bedroom with the white bedspread? A) Two B) One C) Three D) None. Answer:,A,count
00585-CxxHb5C8ZsP,1,I'm trying to remember where I placed the decorative bowl. It is on the kitchen island?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",I'm trying to remember where I placed the decorative bowl. It is on the kitchen island? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,C,existence
00585-CxxHb5C8ZsP,1,We recently bought the kid's play kitchen. Is there any mini pot on the stove?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",We recently bought the kid's play kitchen. Is there any mini pot on the stove? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00585-CxxHb5C8ZsP,2,I need to take a quick shower. Are there any clean towels available in the bathroom?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",I need to take a quick shower. Are there any clean towels available in the bathroom? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00591-JptJPosx1Z6,0,How many kitchen bar stools are there right now?,"['Two', 'Three', 'One', 'None']",How many kitchen bar stools are there right now? A) Two B) Three C) One D) None. Answer:,A,count
00597-D8aaq3PH6dG,0,I need to know if the kitchen island has any bar stools arranged around it. How many are there?,"['None', 'One', 'Two', 'Three']",I need to know if the kitchen island has any bar stools arranged around it. How many are there? A) None B) One C) Two D) Three. Answer:,A,count
00597-D8aaq3PH6dG,0,How many pairs of shoes are there next to the wood logs at the porch?,"['One', 'Two', 'None', 'Three']",How many pairs of shoes are there next to the wood logs at the porch? A) One B) Two C) None D) Three. Answer:,B,count
00597-D8aaq3PH6dG,1,How many pillows are on the single bed with white bedding?,"['None', 'Two', 'One', 'Three']",How many pillows are on the single bed with white bedding? A) None B) Two C) One D) Three. Answer:,B,count
00600-ENhuWpDE5EB,0,Is potted plant still on the kitchen island?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is potted plant still on the kitchen island? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,existence
00606-W16Bm4ysK8v,0,Is the garage door open or closed?,"['Open', 'Closed', '(Do not choose this option)', '(Do not choose this option)']",Is the garage door open or closed? A) Open B) Closed C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00617-AENiMBDjVFb,0,How many towels are there on the dishwasher?,"['(Do not choose this option)', 'Two', 'One', 'None']",How many towels are there on the dishwasher? A) (Do not choose this option) B) Two C) One D) None. Answer:,C,count
